features,accuracy,f1_score,precision,recall
"('PhotoAmt', 'Age', 'Breed1', 'Color2', 'Quantity')",0.5938646215405136,0.5936224790305319,0.5937376532742922,0.5938646215405136
"('Age', 'Color2', 'State', 'MaturitySize', 'Fee')",0.5938646215405136,0.5907295711727218,0.595173452660364,0.5938646215405136
"('Age', 'Breed1', 'Color2', 'Color1', 'State')",0.5931977325775258,0.5923188038373419,0.5932205048833451,0.5931977325775258
"('PhotoAmt', 'Age', 'Color1', 'State', 'MaturitySize')",0.5931977325775258,0.5921295704311654,0.5932995579282194,0.5931977325775258
"('PhotoAmt', 'Age', 'State', 'MaturitySize', 'Fee')",0.5925308436145382,0.5924305603655501,0.5924335933915434,0.5925308436145382
"('Age', 'MaturitySize')",0.5925308436145382,0.5924745455635093,0.5924609389629703,0.5925308436145382
"('Age', 'State', 'Breed2')",0.5921973991330444,0.590430463130965,0.5926321262410895,0.5921973991330444
"('Age', 'State', 'Quantity')",0.5921973991330444,0.5919179136482605,0.5920666088777389,0.5921973991330444
"('PhotoAmt', 'Age', 'Breed2', 'MaturitySize')",0.5918639546515505,0.5906151340457305,0.5920326074801682,0.5918639546515505
"('Age', 'State', 'Breed2', 'Quantity', 'Fee')",0.5915305101700566,0.5912798770340429,0.5913989790126498,0.5915305101700566
"('Age', 'State', 'Fee')",0.5911970656885629,0.5899462045261974,0.5913585749215823,0.5911970656885629
"('Age', 'Color2', 'State', 'MaturitySize')",0.5911970656885629,0.5885547655865748,0.5921116962503611,0.5911970656885629
"('Age', 'MaturitySize', 'Fee')",0.590863621207069,0.5908906431925154,0.5910607525326652,0.590863621207069
"('PhotoAmt', 'Age', 'Color2', 'State', 'MaturitySize')",0.590863621207069,0.5903366740838881,0.5907606321323905,0.590863621207069
"('Age', 'Color1', 'State', 'Breed2', 'Quantity')",0.5905301767255752,0.5903268225441666,0.5904014668239668,0.5905301767255752
"('Age', 'Fee')",0.5905301767255752,0.5890529814401887,0.5907893761795312,0.5905301767255752
"('Age', 'Color2', 'Breed2', 'Quantity', 'MaturitySize')",0.5905301767255752,0.5901439343426955,0.5904018797109597,0.5905301767255752
"('Age', 'Quantity', 'MaturitySize', 'Fee')",0.5905301767255752,0.58921505460904,0.590712812607988,0.5905301767255752
"('Age', 'Color1', 'Quantity')",0.5901967322440813,0.5890774751819999,0.5902892231359006,0.5901967322440813
"('PhotoAmt', 'Age', 'Breed1', 'Color2')",0.5901967322440813,0.5889581451749445,0.5903407149314676,0.5901967322440813
"('Age', 'Color2', 'Color1', 'Breed2', 'MaturitySize')",0.5898632877625876,0.5875160911676068,0.5905707745653873,0.5898632877625876
"('PhotoAmt', 'Age', 'Breed2', 'Quantity')",0.5898632877625876,0.5897623479947844,0.5897642580904269,0.5898632877625876
"('PhotoAmt', 'Age', 'Color1', 'Breed2', 'MaturitySize')",0.5898632877625876,0.5887863701887979,0.5899348091093904,0.5898632877625876
"('PhotoAmt', 'Age', 'State', 'Quantity')",0.5898632877625876,0.5887285173066782,0.5899587184074419,0.5898632877625876
"('Age', 'Color2', 'Color1', 'Quantity', 'MaturitySize')",0.5895298432810937,0.5869874675303272,0.5903405015933976,0.5895298432810937
"('PhotoAmt', 'Age', 'State', 'Quantity', 'Fee')",0.5895298432810937,0.5881637488758973,0.5897228374382272,0.5895298432810937
"('PhotoAmt', 'Age', 'State', 'MaturitySize')",0.5895298432810937,0.588349747943539,0.5896407333406706,0.5895298432810937
"('Age', 'State', 'Quantity', 'Fee')",0.5895298432810937,0.5879297435955513,0.589833778629338,0.5895298432810937
"('Age', 'Breed2', 'Quantity', 'MaturitySize')",0.5891963987995998,0.5891915557063006,0.5891872366360856,0.5891963987995998
"('Age', 'Color1', 'Breed2', 'Quantity', 'MaturitySize')",0.588862954318106,0.5885341730445084,0.588725586980241,0.588862954318106
"('Age', 'Color1', 'Breed2', 'Quantity', 'Fee')",0.5881960653551184,0.5881648256021944,0.5881494113978887,0.5881960653551184
"('Age', 'Color2', 'Color1', 'MaturitySize')",0.5878626208736245,0.5827221541585929,0.5902479318583898,0.5878626208736245
"('PhotoAmt', 'Age', 'MaturitySize', 'Fee')",0.5875291763921308,0.5863731685567004,0.5876080378106846,0.5875291763921308
"('PhotoAmt', 'Age', 'Quantity', 'MaturitySize', 'Fee')",0.5875291763921308,0.5872154187616162,0.5873882126422783,0.5875291763921308
"('Age', 'Breed2', 'Quantity', 'MaturitySize', 'Fee')",0.5871957319106369,0.587161017904427,0.5871451056704172,0.5871957319106369
"('Age', 'Color1', 'State')",0.5871957319106369,0.5860239046254963,0.5872772499039599,0.5871957319106369
"('Age', 'Color2', 'Color1', 'State', 'MaturitySize')",0.586862287429143,0.584684710913886,0.5874085883363899,0.586862287429143
"('Age', 'Color1', 'State', 'Quantity')",0.5865288429476492,0.5851365364580664,0.5866935955249126,0.5865288429476492
"('Age', 'Color2', 'State', 'Fee')",0.5861953984661554,0.5829266682949605,0.587326651576215,0.5861953984661554
"('PhotoAmt', 'Age', 'Breed2', 'MaturitySize', 'Fee')",0.5861953984661554,0.5850652129380489,0.586249951536918,0.5861953984661554
"('PhotoAmt', 'Age', 'MaturitySize')",0.5858619539846616,0.5841945540266018,0.5861390847810971,0.5858619539846616
"('PhotoAmt', 'Age', 'Quantity', 'MaturitySize')",0.5855285095031677,0.5846198485341066,0.5854989896654389,0.5855285095031677
"('Age', 'Color2', 'Breed2', 'MaturitySize')",0.5851950650216738,0.5841628974203283,0.5852039565828528,0.5851950650216738
"('Age', 'Color2')",0.5851950650216738,0.5830290613267074,0.5856992213637796,0.5851950650216738
"('PhotoAmt', 'Age', 'Quantity')",0.5851950650216738,0.583987361945402,0.5852683203084923,0.5851950650216738
"('Age', 'Breed2')",0.5848616205401801,0.5812747174166337,0.5861300318048368,0.5848616205401801
"('Age', 'Color2', 'MaturitySize', 'Fee')",0.5848616205401801,0.5827141568878269,0.5853493983581254,0.5848616205401801
"('Age', 'Breed2', 'MaturitySize')",0.5845281760586862,0.583874711700524,0.5844215998378173,0.5845281760586862
"('Age', 'Color2', 'Quantity')",0.5845281760586862,0.583378644361074,0.5845723137368877,0.5845281760586862
"('PhotoAmt', 'Age', 'Color2', 'Quantity', 'MaturitySize')",0.5841947315771924,0.5835519787029942,0.584083973732328,0.5841947315771924
"('PhotoAmt', 'Age', 'Color1', 'Breed2', 'Fee')",0.5841947315771924,0.5833861544538799,0.5841250523981569,0.5841947315771924
"('Age', 'Color1', 'State', 'Fee')",0.5835278426142048,0.5823606204747929,0.5835676986161857,0.5835278426142048
"('Age', 'Color2', 'Breed2', 'MaturitySize', 'Fee')",0.5831943981327109,0.581443799321493,0.5834647104107664,0.5831943981327109
"('PhotoAmt', 'Age', 'Color1', 'Breed2')",0.5831943981327109,0.5822938563907192,0.5831434902264854,0.5831943981327109
"('PhotoAmt', 'Age', 'Color2', 'MaturitySize', 'Fee')",0.5831943981327109,0.5816220881081017,0.5833882519221137,0.5831943981327109
"('Age', 'Color2', 'Breed2')",0.5831943981327109,0.5832103432732114,0.5832345871841279,0.5831943981327109
"('Age', 'Color1', 'Breed2', 'MaturitySize', 'Fee')",0.582860953651217,0.5819196677797432,0.5828194679079168,0.582860953651217
"('Age', 'Color2', 'Fee')",0.582860953651217,0.5804090812238306,0.5834538547168252,0.582860953651217
"('PhotoAmt', 'Age', 'Color1', 'Breed2', 'Quantity')",0.5825275091697233,0.5821337180757775,0.5823753225818282,0.5825275091697233
"('PhotoAmt', 'Age', 'State', 'Breed2', 'Quantity')",0.5825275091697233,0.5820202902823902,0.5823853419958159,0.5825275091697233
"('Age', 'Color2', 'State', 'Breed2', 'MaturitySize')",0.5825275091697233,0.5820202902823902,0.5823853419958159,0.5825275091697233
"('PhotoAmt', 'Age', 'State')",0.5821940646882294,0.5800733365309163,0.5826128808823975,0.5821940646882294
"('PhotoAmt', 'Age', 'State', 'Breed2')",0.5821940646882294,0.5808035559232325,0.5823010671358416,0.5821940646882294
"('Age', 'Color2', 'State', 'Quantity')",0.5821940646882294,0.5801134863967965,0.5825943365684026,0.5821940646882294
"('PhotoAmt', 'Age', 'Color2', 'MaturitySize')",0.5818606202067356,0.5797179642518105,0.5822826264619533,0.5818606202067356
